AZ_SCRIPT,ALT_SCRIPT,ALT,AZ,HA,RA,DEC,LST,ETIQUETA,TIME,
146.289,30.337,0.5171711517,2.55537997,-1.19432294,3.364601157,-1.030387415,8:17:23,930,5/6/2016 17:19:15,168
148.098,47.771,0.8190781205,2.576177229,-0.6540733789,2.830319536,-0.9469996373,8:18:46,941,5/6/2016 17:20:37,190
151.025,36.256,0.6266660816,2.637265552,-0.958894985,3.140042028,-1.073744787,8:19:53,936,5/6/2016 17:21:44,180
152.834,57.179,0.9892741318,2.656991669,-0.3980224604,2.585950004,-0.8762120956,8:21:26,944,5/6/2016 17:23:17,196
157.57,72.272,1.250343564,2.699720183,-0.1515990131,2.347593606,-0.6762322453,8:23:17,961,5/6/2016 17:25:08,230
158.688,32.521,0.5622545225,2.771118957,-1.005484473,3.209788213,-1.200363602,8:25:11,942,5/6/2016 17:27:02,192
160.497,51.059,0.8832876349,2.791373542,-0.4050162329,2.617777515,-1.008486403,8:27:08,953,5/6/2016 17:28:58,214
163.424,38.718,0.6669837796,2.847102241,-0.6547130376,2.873755384,-1.197091497,8:28:34,948,5/6/2016 17:30:24,204
166.351,29.036,0.5024298633,2.905114348,-1.037885071,3.264124152,-1.329994613,8:30:13,946,5/6/2016 17:32:03,200
171.087,34.8,0.6078571647,2.982078299,-0.5285897563,0.784775897,-1.316054469,0:58:43,953,5/8/2016 9:53:55,214
172.896,54.701,0.956606441,3.008874953,-0.1349923852,0.4034439384,-1.000240772,1:01:31,957,5/8/2016 9:56:43,222
178.75,31.167,0.5465414543,3.116364723,-0.122936944,0.4053132308,-1.417375578,1:04:43,957,5/8/2016 9:59:54,222
180.559,49,0.8582890405,3.148057882,0.01581974985,0.2963836989,-1.107294854,1:11:33,935,5/8/2016 10:06:43,178
183.486,37.188,0.6528679628,3.198978665,0.1869919257,0.1303128689,-1.308135599,1:12:43,936,5/8/2016 10:07:53,180
185.295,58.847,1.031140648,3.220098792,0.07787247247,0.2598032865,-0.9320364864,1:17:23,934,5/8/2016 10:12:32,176
190.031,76.515,1.341621325,3.226002817,0.04731377751,0.3035363563,-0.6230662112,1:20:25,927,5/8/2016 10:15:33,162
191.149,33.386,0.5881728398,3.334680421,-5.594147688,5.955188627,-1.313867796,1:22:45,944,5/8/2016 10:17:53,196
192.958,52.412,0.9185344402,3.349845605,0.265057609,1.792872505,-1.02153097,7:51:39,936,5/8/2016 16:45:43,180
195.885,39.701,0.7010797025,3.413121587,-5.684792437,6.052182914,-1.188276397,1:24:12,944,5/8/2016 10:19:20,196
198.812,29.846,0.5256254921,3.470984717,-5.196641043,5.571254214,-1.249055424,1:25:51,954,5/8/2016 10:20:59,216
200.621,47.053,0.8290980534,3.4951724,-5.778845729,6.163002458,-1.052603558,1:28:03,944,5/8/2016 10:23:10,196
203.548,35.705,0.6339542073,3.549640577,-5.380819492,5.770873866,-1.144869813,1:29:24,952,5/8/2016 10:24:31,212
205.357,56.225,0.9878592094,3.578731245,0.3897410675,0.01035549856,-0.8971790852,1:31:42,943,5/8/2016 10:26:48,194
208.284,42.362,0.7497889699,3.631286116,-5.533233964,5.941201276,-1.032250716,1:33:30,952,5/8/2016 10:28:36,212
210.093,70.303,1.240531897,3.625017782,0.2169712388,0.1977713971,-0.6801957216,1:35:03,944,5/8/2016 10:30:09,196
211.211,32.009,0.5669566937,3.687313301,-5.165395347,5.590016248,-1.060073945,1:37:19,959,5/8/2016 10:32:25,226
213.02,50.272,0.8894559836,3.710471589,-5.682481195,6.113740329,-0.9087881389,1:38:50,952,5/8/2016 10:33:56,212
215.947,38.139,0.6720233706,3.770269985,-5.331874465,5.7730527,-0.9684263608,1:41:07,961,5/8/2016 10:36:12,230
217.756,60.628,1.069805333,3.789582762,0.4264870597,0.02419601101,-0.7628563031,1:43:17,951,5/8/2016 10:38:22,210
218.874,28.555,0.5145307476,3.822211722,-5.031125303,5.489378465,-0.9512659985,1:45:01,966,5/8/2016 10:40:06,240
220.683,45.201,0.7985875078,3.850988715,-5.491670237,5.959941601,-0.8702509422,1:47:19,959,5/8/2016 10:42:23,226
223.61,34.265,0.6116265301,3.904234896,-5.188185413,5.661817503,-0.8751369159,1:48:33,966,5/8/2016 10:43:37,240
225.419,53.823,0.9452806595,3.935678175,-5.664469928,6.148126709,-0.7627175097,1:50:51,961,5/8/2016 10:45:54,230
228.346,40.706,0.7211754775,3.984930616,0.9439192642,1.126747187,-0.7963376591,7:54:34,968,5/8/2016 16:48:38,244
230.155,66.026,1.170280691,3.990404933,0.3954088885,1.685102868,-0.6319958412,7:56:49,960,5/8/2016 16:50:53,228
231.273,30.668,0.5432769639,4.039252518,1.193513811,0.8946188627,-0.763924049,7:58:34,974,5/8/2016 16:52:37,256
236.009,36.626,0.6508558558,4.121105925,1.050842153,1.04034373,-0.6976464279,7:59:16,975,5/8/2016 16:53:19,258
237.818,57.834,1.026635265,4.141857676,0.5881483896,1.510364612,-0.6263728158,8:00:57,970,5/8/2016 16:54:59,248
238.936,27.294,0.4825688931,4.173713607,1.254314195,0.8519442742,-0.6415082025,8:02:43,979,5/8/2016 16:56:46,266
240.745,43.431,0.7689005149,4.20273288,0.9017930524,1.209726314,-0.6320350632,8:03:55,978,5/8/2016 16:57:58,264
242.554,73.775,1.304450635,4.205901986,0.2861168091,1.85481735,-0.5089578691,8:10:40,943,5/8/2016 17:04:41,194
243.672,32.866,0.5800975173,4.255822733,1.124872324,1.025209503,-0.5839612551,8:12:46,980,5/8/2016 17:06:47,268
245.481,51.593,0.9107019229,4.283976354,0.7333304626,1.420543338,-0.5683204132,8:13:38,979,5/8/2016 17:07:39,266
248.408,39.109,0.6966046371,4.338882587,0.9880287985,1.169636319,-0.5293009456,8:14:30,981,5/8/2016 17:08:31,270
250.217,62.55,1.109182627,4.361872258,0.5167753937,1.644963465,-0.5055434971,8:15:26,980,5/8/2016 17:09:27,268
251.335,29.358,0.51691874,4.389810238,1.172088262,0.9966986456,-0.4608622613,8:17:03,804,5/8/2016 17:11:03,276
256.071,35.16,0.6212097032,4.472928539,1.046093427,1.125107391,-0.4135014406,8:17:36,803,5/8/2016 17:11:36,274
257.88,55.302,0.9753084863,4.502337252,0.6602100536,1.514065484,-0.4393787196,8:18:18,804,5/8/2016 17:12:18,276
258.998,26.059,0.477636481,4.529901227,1.2003822,0.9879182657,-0.3319135199,8:21:31,807,5/8/2016 17:15:31,282
260.807,41.733,0.7338196722,4.554724116,0.9105227584,1.280167188,-0.3733937243,8:22:04,808,5/8/2016 17:16:04,284
262.616,68.568,1.205501623,4.582354553,0.4044378788,1.790115358,-0.4119691216,8:22:57,808,5/8/2016 17:16:57,284
263.734,31.502,0.5727435047,4.612801654,1.083261937,1.126725939,-0.2895487623,8:26:30,810,5/8/2016 17:20:28,288
265.543,49.504,0.8699766403,4.637146113,0.7561761673,1.456766911,-0.3446352251,8:27:10,811,5/8/2016 17:21:09,290
268.471,37.566,0.6640170327,4.690331766,0.9569645037,1.258278873,-0.2554654838,8:27:42,812,5/8/2016 17:21:40,-68
270.28,59.544,1.055421584,4.72368254,0.5639917464,1.659913498,-0.3343756482,8:29:41,815,5/8/2016 17:23:39,298
271.398,28.079,0.5110975026,4.747543829,1.102777178,1.126450436,-0.1604984223,8:30:54,817,5/8/2016 17:24:52,302
275.016,79,1.392220607,4.804145617,0.2035460484,2.039777737,-0.3698083149,8:34:08,891,5/8/2016 17:28:05,90
276.134,33.736,0.6124581059,4.832434406,0.984013892,1.270188929,-0.130641419,8:36:38,819,5/8/2016 17:30:35,306
277.943,52.969,0.933012055,4.856065653,0.6569178113,1.602141267,-0.23115566,8:37:44,823,5/8/2016 17:31:41,314
280.87,40.1,0.7129226221,4.910561975,0.8542923142,1.409511234,-0.1135904659,8:38:50,823,5/8/2016 17:32:46,314
283.797,30.173,0.5426915117,4.963674568,0.9931906086,1.273943103,-0.001713943653,8:39:35,822,5/8/2016 17:33:32,312
288.533,36.071,0.6515604768,5.051919176,0.8699251782,1.40424477,0.01193263234,8:41:12,826,5/8/2016 17:35:08,320
290.342,56.858,1.000249292,5.074394315,0.5418768675,1.738313087,-0.1461176422,8:42:35,830,5/8/2016 17:36:31,328
295.078,71.584,1.265535298,5.176825671,0.296449151,1.993734576,-0.2429339881,8:44:52,847,5/8/2016 17:38:48,2
296.196,32.35,0.5859300128,5.187099852,0.8688425145,1.42800453,0.1400797257,8:46:24,832,5/8/2016 17:40:19,332
298.005,50.795,0.9055396046,5.222123695,0.5887118962,1.726644654,-0.02307224149,8:50:38,834,5/8/2016 17:44:33,336
300.932,38.524,0.6933348756,5.272874708,0.7402972259,1.578399478,0.1331253209,8:51:24,835,5/8/2016 17:45:19,338
302.741,61.378,1.079517001,5.295027708,0.4139446949,1.910833634,-0.09778137922,8:52:48,842,5/8/2016 17:46:42,352
303.859,28.875,0.5105543723,5.313605267,-5.432171041,6.077882983,0.2703403719,2:27:59,835,5/12/2016 11:07:13,338
308.595,34.621,0.6165488028,5.404774301,-5.558404726,6.213299629,0.260892952,2:30:05,839,5/12/2016 11:09:19,346
310.404,54.406,0.9648161081,5.452895355,0.4564172661,0.2037479414,0.03838327745,2:31:18,842,5/12/2016 11:10:31,352
313.331,41.114,0.7217071275,5.480622299,0.5941297404,0.07209244436,0.2290532167,2:32:41,841,5/12/2016 11:11:54,350
316.258,31,0.5465206649,5.531934903,-5.593066817,6.261895933,0.3855437589,2:33:17,842,5/12/2016 11:12:30,352
318.067,48.751,0.858870593,5.574494118,0.4598870069,0.2139070194,0.1672076356,2:34:25,844,5/12/2016 11:13:38,356
320.994,37,0.6559238353,5.625425845,0.561174529,0.1173374962,0.3512246059,2:35:30,846,5/12/2016 11:14:43,0
322.803,58.505,1.033809646,5.682720141,0.3187394376,0.3660976232,0.05909772296,2:36:57,852,5/12/2016 11:16:09,12
327.539,75.513,1.324515314,5.788845379,0.1338381703,0.5642162151,-0.1756690586,2:39:59,866,5/12/2016 11:19:11,40
328.657,33.212,0.5807317635,5.74508923,0.5059881275,0.2021815165,0.4683969531,2:42:18,848,5/12/2016 11:21:29,4
330.466,52.137,0.91333438,5.788912485,0.3100103591,0.4035703995,0.1933146461,2:43:32,852,5/12/2016 11:22:44,12
333.393,39.503,0.6938857396,5.839263624,0.3818620764,0.3356051612,0.4058278184,2:44:26,853,5/12/2016 11:23:37,14
336.32,29.683,0.5228544846,5.889381276,0.4256336076,0.2947762176,0.5780010603,2:45:06,853,5/12/2016 11:24:17,14
341.056,35.523,0.624894913,5.980515335,0.3039490727,0.4221389043,0.5116215394,2:46:24,857,5/12/2016 11:25:35,22
342.865,55.914,0.9764942292,6.005869749,0.1652809986,0.5689112903,0.1795418843,2:48:16,862,5/12/2016 11:27:26,32
347.601,69.703,1.217395468,6.12196881,0.07148185963,0.6699502607,-0.04528926598,2:49:55,871,5/12/2016 11:29:06,50
348.719,31.84,0.5576183868,6.112335447,0.199728747,0.5485427218,0.6045763206,2:51:29,860,5/12/2016 11:30:39,28
350.528,50.014,0.8723044258,6.137765303,0.1073475674,0.6494685111,0.2973630927,2:53:27,863,5/12/2016 11:32:37,34
353.455,37.947,0.661400328,6.18693076,0.09935655913,0.6597539107,0.5109700635,2:53:59,863,5/12/2016 11:33:08,34
355.264,60.261,1.050568563,6.241370899,0.03807292641,0.7263379637,0.1253397663,2:55:11,868,5/12/2016 11:34:21,44
,,,,,,,,,,
15,25,0.4297776073,0.2823140179,-0.3145552334,1.531767864,0.7032328565,4:38:58,851,4/24/2016 14:28:37,10
15,45,0.7815616168,0.27906311,-0.2012196458,1.427096842,0.3683768319,4:40:57,850,4/24/2016 14:30:35,8
